ticker,monitor_bucket,in_current_scan,snapshots_seen,first_seen_snapshot,last_seen_snapshot,promotion_stage,prior_promotion_stage,stage_delta_vs_prev,dynamic_status,prior_dynamic_status,status_delta_vs_prev,validation_lane,governance_role,scan_candidate_track,scan_quality_compounder_fit,scan_quality_compounder_score,history_emergence_persistence_score,scan_event_quality_score,profile_count,pit_cluster_key,pit_free_float_ratio_current,pit_low_float_flag,pit_listing_age_days,pit_fx_return_21d,pit_fx_headwind_flag,pit_earnings_snapshot_count,pit_data_context_score,recent_score,promotion_score,dynamic_conviction_score,monitor_priority_score,needs_algo_attention
ANZ.AX,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,2.8798,2.2,-0.1617,2,financial-services,0.9981,0,4148.0,0.0,0,1,0.6375,0.2356,89.8999,7.6908,5.3178,0
8306.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.3827,1.9333,-0.2378,3,financial-services,0.9949,0,4148.0,-0.0011,0,1,0.8875,0.2823,80.5648,9.284,5.2963,0
TEL,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,2.8378,1.9333,0.0153,3,technology,0.9982,0,4148.0,0.0,0,1,0.8875,0.3515,78.5817,7.0251,5.2341,0
LASR,legacy_universe_gap,1,12,2026-03-21,2026-04-11,watch_queue,watch_queue,0,reject,reject,0,weak,archive,persistent_leader,weak,0.0,2.7,0.0,1,semiconductors,0.9672,0,2906.0,0.0,0,1,0.8875,3.2871,114.3567,15.357,5.233,0
GS,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.076,1.9333,-0.0743,2,financial-services,1.0395,0,4148.0,0.0,0,1,0.8875,0.4264,80.5607,8.5263,5.1922,0
1810.HK,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.3188,1.8,0.1292,2,technology,0.8118,0,2832.0,-0.0005,0,1,0.8875,-0.3719,72.9531,6.8756,5.1329,0
000270.KS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.0092,1.5333,-0.2103,3,consumer-cyclical,0.6068,0,4148.0,0.0014,0,1,0.8875,0.4311,64.2602,7.4994,4.9642,0
2489.TW,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,emerging_leader,weak,0.0,2.2,0.0,3,industrial-compounders,0.8371,0,4148.0,0.0027,0,1,0.8875,0.9565,90.8306,10.6853,4.9565,0
EXAS,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,healthcare,0.9872,0,4130.0,0.0,0,1,0.8875,0.9064,94.0408,13.8058,4.9525,0
ONTO,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,semiconductors,0.9922,0,2356.0,0.0,0,1,0.8777,0.4698,89.9984,8.803,4.9176,0
2454.TW,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,semiconductors,0.8904,0,4148.0,0.0027,0,1,0.8875,0.1047,90.1013,9.2515,4.8884,0
8918.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,real-estate,0.6387,0,4148.0,-0.0011,0,1,0.8875,0.01,88.0908,7.2538,4.8808,0
HLIT,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,optical-networking,0.9822,0,4148.0,0.0,0,1,0.8875,-0.0614,88.9183,8.1528,4.88,0
ICICIBANK.NS,legacy_universe_gap,1,8,2026-03-28,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,financial-services,0.9945,0,4148.0,-0.0088,0,1,0.8875,-0.0719,87.8663,6.828,4.88,0
SIE.DE,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,industrial-compounders,1.0228,0,4148.0,0.0161,0,1,0.8875,-0.0734,87.185,6.2856,4.88,0
PSTG,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,3,technology,0.9464,0,3839.0,0.0,0,1,0.8875,-0.0546,87.1103,6.6326,4.88,0
9984.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.0004,1.4,-0.0635,3,communication-services,0.6413,0,4148.0,-0.0011,0,1,0.8875,0.2839,60.4766,8.095,4.8752,0
8035.T,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,2,semiconductors,0.9581,0,4148.0,-0.0011,0,1,0.8875,0.7323,92.698,10.8839,4.8586,0
NHY.OL,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,2,basic-materials,0.5723,0,4148.0,0.0159,0,1,0.8875,0.3236,90.6514,9.2354,4.8259,0
CSX,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,2,industrials,0.9978,0,4148.0,0.0,0,1,0.8875,0.2197,90.6431,9.2749,4.8176,0
UPS,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.2,0.0,2,industrials,0.9983,0,4148.0,0.0,0,1,0.8875,0.0142,87.1791,6.1545,4.8011,0
ODFL,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.1444,0.0,2,industrials,0.9174,0,4148.0,0.0,0,1,0.8875,0.2184,87.5478,8.2488,4.7786,0
BBVA.MC,legacy_universe_gap,1,9,2026-03-27,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.1167,0.0,2,financial-services,1.0034,0,4148.0,0.0161,0,1,0.8875,0.2131,85.2306,7.0948,4.7587,0
ET,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,3.2259,1.4,-0.1516,1,oil-gas,0.8986,0,4148.0,0.0,0,1,0.8875,0.1703,60.4063,7.4824,4.7361,0
AME,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.0889,0.0,2,industrial-compounders,0.9937,0,4148.0,0.0,0,1,0.8875,0.1279,83.277,6.2409,4.7325,0
ROK,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.0889,0.0,2,industrial-compounders,0.9967,0,4148.0,0.0,0,1,0.8875,0.1125,83.0349,6.0612,4.7312,0
GWW,legacy_universe_gap,1,14,2026-03-20,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.0889,0.0,2,industrial-compounders,0.9165,0,4148.0,0.0,0,1,0.8875,0.0858,85.5896,8.4586,4.7291,0
CTRA,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.1444,0.0,1,oil-gas,0.9851,0,4148.0,0.0,0,1,0.8875,0.3667,87.7823,9.4734,4.7104,0
INGA.AS,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,fringe,weak,0.0,2.0611,0.0,2,financial-services,1.0094,0,4148.0,0.0161,0,1,0.8875,0.0655,82.3206,6.3631,4.708,0
DOW,legacy_universe_gap,1,11,2026-03-23,2026-04-11,review_queue,review_queue,0,review,review,0,weak,reserve,emerging_leader,weak,0.0,2.1167,0.0,1,basic-materials,0.9947,0,2578.0,0.0,0,1,0.8875,0.4743,86.0105,8.8607,4.6996,0
