ticker,source_names,source_types,seed_hits,etf_hits,name,rating,market weight,sector_key,symbol,Name,Holding Percent,etf_name,industry_key,seed,source_count,source_type_count,sources,is_active,is_reserve,is_hard_exclusion,candidate_status,ytd return,growth estimate,last price,target price,marketCap,averageDailyVolume3Month,regularMarketPrice,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,regularMarketChangePercent,sector,industry,priority_score
CTAS,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Cintas Corporation,Buy,0.01031489,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
RSG,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Republic Services, Inc.",Buy,0.01024423,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
NSC,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Norfolk Southern Corporation,Hold,0.009642833,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
PCAR,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,PACCAR Inc,Buy,0.0092405435,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
GWW,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"W.W. Grainger, Inc.",Hold,0.00768786,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
AME,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"AMETEK, Inc.",Buy,0.0074030114,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
FIX,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Comfort Systems USA, Inc.",Strong Buy,0.007360767,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
URI,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"United Rentals, Inc.",Buy,0.0071970816,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
FERG,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,Ferguson Enterprises Inc.,Buy,0.006822125,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
DAL,"{'VRT', 'industrials', 'BE'}",sector_top_company|seed_peer,BE|VRT,,"Delta Air Lines, Inc.",Strong Buy,0.0066528255,industrials,,,,,electrical-equipment-parts,,3,2,BE|VRT|industrials,0,0,0,new,,,,,,,,,,,,,25.5
